Q I dI dQ
0.004201 0.10012971417464675 0.04386347002833251 0.000525125
0.004241 0.06743616865429124 0.03061294271865094 0.000530125
0.004362 0.09424268992360886 0.018538145256776353 0.00054525
0.004663 0.09846296022975563 0.014154680148501091 0.000582875
0.005047 0.09853351584977042 0.012880450343882802 0.000630875
0.005434 0.0810367492683383 0.012375302810826222 0.00067925
0.005823 0.09656684764201684 0.011941911409136188 0.0007278750000000001
0.006212 0.11166879082394558 0.009953300213687618 0.0006104463469842688
0.006603 0.09871411912761587 0.008534030682763392 0.0005913840827237015
0.006994 0.10337922161889956 0.008191363834631964 0.0006238085864845311
0.007385 0.1142778077403535 0.00796738153846984 0.0006586825586040523
0.007777 0.10205221177190943 0.007760551457037888 0.000693645722719303
0.008169 0.1009423615290985 0.007573356051265551 0.000728608888666972
0.008561 0.09241557282576449 0.007394336055297602 0.0007635720526485002
0.008954 0.09823004156797659 0.007227180729342178 0.0007986244085672673
0.009347 0.09837518778000147 0.007075008524649496 0.0008336767663381399
0.00974 0.09733952075952962 0.006946036015400521 0.0008687291300877184
0.01013 0.0981014886801943 0.006780020850851042 0.0009035138984099009
0.01053 0.103618567685669 0.006654761934804761 0.0009391905999588409
0.01092 0.0919968963381272 0.0065764926016667925 0.0009739754009158358
0.01131 0.0850474450416959 0.006421203506741332 0.0010087601638333165
0.01171 0.09418761981916134 0.006314919597316524 0.001044436865298615
0.0121 0.09964711516913778 0.006211331572168277 0.0010792216467587605
0.0125 0.0932216014627897 0.006115226055564427 0.0011148983481676885
0.01289 0.09558387035897789 0.006060935638333299 0.0011496831494449882
0.01328 0.0953531137280625 0.005933935132423473 0.0011844679125416675
0.01368 0.09476738780897537 0.006736678513039722 0.0012201451008137453
0.01388 0.0910803592206971 0.010568626080579301 0.0012379864152945836
0.01392 0.09493634923059056 0.014286857306851837 0.0012415582008270464
0.01401 0.08796706638564465 0.013277076313314932 0.001249584273847272
0.01407 0.11094387522833954 0.01940599430989687 0.001254944791151005
0.01408 0.11202280160921985 0.012049832040559729 0.0012558263404023916
0.01425 0.08048504676133066 0.008153626577860121 0.001270985439134865
0.01447 0.09861724582119177 0.006457457469851944 0.001290606526476341
0.01486 0.10254712925157107 0.007094751324729117 0.0013253917697382998
0.01497 0.10808679615042988 0.007944134571352193 0.0013352034897571438
0.01525 0.08753193181024489 0.005967183790302982 0.0013601758977359849
0.01565 0.09924405428396268 0.0054784393938996515 0.0013958523632770252
0.01604 0.10264542480443148 0.00657110781438621 0.0014306378563304144
0.01619 0.09075737358106167 0.007560550025533122 0.0014440173614580993
0.01644 0.10223507538154497 0.00592923211822326 0.0014663141900092094
0.01683 0.08390085232683613 0.005286832805226273 0.0015010986287872182
0.01723 0.09026592640358304 0.005868719537129641 0.001536775720721108
0.01746 0.0917302721975974 0.007400581678871993 0.0015572909804116933
0.01762 0.0956129578604917 0.006121742433263485 0.0015715607160598397
0.01802 0.10562468016360645 0.005116594620399545 0.0016072368138433685
0.01841 0.09698511668964369 0.005308173175412333 0.0016420217456620753
0.01874 0.10485343496825032 0.007080078461615824 0.0016714563647458461
0.01881 0.10042567168174427 0.006539661086309214 0.0016776993566533513
0.0192 0.09167600721800012 0.004993915779694885 0.0017124830996974737
0.01959 0.09668435514393205 0.004913961110694019 0.0017472678631442842
0.01999 0.09383111360836689 0.006628216354439727 0.001782945855307533
0.02002 0.0875259229420774 0.006894250358471772 0.0017856218417345643
0.02038 0.08477242969075485 0.00491445640352704 0.001817729405670328
0.02078 0.08699438104573072 0.00477862623401645 0.0018534060486137894
0.02117 0.0964414140968106 0.005855666908635892 0.001888191632592595
0.0213 0.09634206400823254 0.006625755935651897 0.0018997872273012952
0.02157 0.08517255195351378 0.0051285060899545955 0.0019238678260791384
0.02196 0.09317805325360783 0.004653935573133229 0.0019586523154500094
0.02236 0.09282406950896822 0.005263017046600948 0.0019943294734405762
0.02257 0.1031958313904707 0.006541458595824138 0.002013060845907145
0.02275 0.09637174824978424 0.0053292696566101146 0.0020291143407767023
0.02315 0.09229719430866044 0.004540405902407619 0.0020647905013420416
0.02354 0.08835188192520536 0.004789279206698329 0.002099575483323069
0.02385 0.08904374528765144 0.006306126978731327 0.0021272262287355503
0.02394 0.10036788723324808 0.00571547404522073 0.002135252955182235
0.02433 0.09205752473852445 0.0044348811022450856 0.0021700367687050603
0.02473 0.09023658952260696 0.004402111154825137 0.002205713470370508
0.02512 0.08099166368900804 0.006164435688737813 0.0022404997689068154
0.02513 0.09211002939139033 0.0034021543230351547 0.002142319471320559
0.02641 0.0941006149330338 0.0024709780754384883 0.0020393639883950895
0.02769 0.09273219248014618 0.0025228646489264227 0.002151287987870829
0.02897 0.09712306855350104 0.002565753352223906 0.0023043637395381887
0.03025 0.08879181432357766 0.002592548508625285 0.002480580698059637
0.03154 0.09236844514625261 0.0026190580354235205 0.002679885824717583
0.03282 0.08944306206202948 0.002645467910056352 0.002897619787887326
0.0341 0.08877892890924075 0.0026638652444386105 0.00313429264741149
0.03538 0.08763568538344384 0.0026740879065100375 0.0033740925660613163
0.03666 0.08392751960105442 0.0026568503246120704 0.003556343989174653
0.03794 0.0900783366630247 0.002619412654795821 0.003683639339556954
0.03922 0.09130970607856412 0.002583374932516558 0.0038079158050685806
0.0405 0.095072570813746 0.0025495569549465625 0.003932192273346338
0.04178 0.08421240070654706 0.002517577475646451 0.004056468742877669
0.04306 0.09054951076930456 0.0027010796140757858 0.004180746797684113
0.04396 0.0880411717633014 0.003485372713869228 0.0042681359458177194
0.04435 0.08984936043076 0.003028634109626813 0.004305997198010204
0.04563 0.08372777411730373 0.0024314419069122713 0.004430269070946654
0.04691 0.08433868964225158 0.0024059571799435924 0.004554545548240917
0.04819 0.08330922679908219 0.0023814895903928055 0.004678822024885313
0.04947 0.08334656513604646 0.002358763305523357 0.004803098507021477
0.05075 0.08477705090333812 0.002337139968857301 0.004927374990425029
0.05203 0.08160703443413007 0.0023166676169555757 0.005051651476021115
0.05331 0.08121460283522129 0.002297045178934043 0.005175927961912206
0.05459 0.08382611675947738 0.0022786798232786076 0.005300204451880453
0.05587 0.08023163360630524 0.0022612640062429834 0.005424480943919239
0.05715 0.07730226466860032 0.00224484445815922 0.005548757438870889
0.05843 0.08057414810104482 0.002229087470595554 0.005673033934308714
0.05971 0.07680699370062578 0.002214209002447187 0.005797310432447314
0.06099 0.07911384644003797 0.0022002490374852042 0.00592158693404259
0.06227 0.07649002123118828 0.002191585902589061 0.006045863479101555
0.06354 0.0743052833353363 0.002178646423113004 0.006169169070843381
0.06482 0.07424239048458345 0.002162702079228188 0.0062934455416518344
0.0661 0.07364393049399032 0.0021517596996191045 0.006417722054834313
0.06738 0.07255476097155933 0.0030074417984114654 0.006542008534932795
0.06741 0.06544229467056989 0.008842964479317962 0.006545075830938062
0.06753 0.07668560106777195 0.005704555155827914 0.006556624842866695
0.06777 0.0789111806551508 0.003773152661785048 0.006579885792299339
0.06835 0.07947401739500894 0.0036221506067610505 0.006636196286824109
0.06866 0.07650904184801778 0.0027032757981673245 0.00666628138162544
0.06993 0.0735242599255758 0.0027104537462181305 0.00678958728816039
0.07024 0.07433914101500717 0.0029909402743165726 0.006819689284017473
0.07121 0.07262659915220822 0.002251969965625901 0.006913858644739757
0.07249 0.07511704993822807 0.0021054729974489144 0.007038133743408475
0.07377 0.06753851868369545 0.002308434191522712 0.007162412541580535
0.07461 0.0715502106253899 0.002975782896277048 0.007243977815512372
0.07504 0.06745446229391068 0.0025509043588672863 0.007285721207027421
0.07632 0.0701357483700855 0.002084255205822669 0.007409992426336931
0.0776 0.0675460510836156 0.0020824696146647696 0.007534269009726464
0.07887 0.06768367935018428 0.0022975720802878435 0.007657577165515092
0.07969 0.06600287970829181 0.002929763374940445 0.007737200623615104
0.08015 0.06927189882181736 0.002508680198846408 0.007781856504906036
0.08142 0.06668141680337941 0.0020669728758025163 0.007905156820839497
0.0827 0.06209165282098379 0.0020635078476588936 0.00802848394666819
0.08397 0.06482298149034987 0.002320507854581397 0.00809849367460941
0.08478 0.06332262862178048 0.003053407219378715 0.008064428998376534
0.08525 0.06743885399169212 0.002708331286542173 0.00798550567194741
0.08652 0.06211181831707 0.0023505850741887785 0.007957576158836433
0.08779 0.06533388262353598 0.0024124638698346857 0.007988761839319278
0.08907 0.05699515403981867 0.002736322380998331 0.00804737414962665
0.08986 0.05549695526201721 0.0035416345423014152 0.008081394149062686
0.09034 0.06777720691713371 0.0030578030947137794 0.00808669368841555
0.09161 0.05664807615527488 0.002609534620491581 0.00814793033404162
0.09289 0.05908258875454161 0.0026612350018325563 0.008233524451465022
0.09416 0.06117739667621403 0.003021523284069707 0.008330409412390513
0.09494 0.05512382749708427 0.0038854521844429316 0.008393030066725636
0.09543 0.05741534393318398 0.0033368313722054303 0.008435194449563433
0.0967 0.05744372370577328 0.0028426942597404555 0.008560489391614284
0.09798 0.0603953919569727 0.0028937874427395057 0.00869879546205416
0.09925 0.05664240624815123 0.003306689431143787 0.008843643095109037
