#Datafile 0: p0047.refl ; #Datafile 1: p0048.refl ; #Datafile 2: p0049.refl ; #Datafile 3: p0050.refl ; #Datafile 4: p0051.refl ; #Datafile 5: p0052.refl ; 
#      Generation        Chisq_best          rho_SiOx            rho_Cr            rho_Au           d_oxide              d_Cr              d_Au          l_tether          l_lipid1      dl_lipid_on1      dl_lipid_off       penetration         nf_tether       mult_tether        vf_bilayer      StartPosProt    NumberFracProt         ExProtons   scalarmult_off1   scalarmult_off2        rho_solv_0        rho_solv_1      rho_solv_h2o        rho_solv_5      global_rough             sigma       rough_au_cr      background_1      background_2      background_3      background_4      background_5
#                  parameter range:  3.4e-06,3.8e-06     3e-06,4.3e-06   4.3e-06,4.6e-06         5,50             30,50            100,120            10,19              8,22             -4,4              -4,4              -8,0             0.5,1             0.1,10            0.6,1              50,140          0.01,3             0.3,0.9           0.1,1             0.1,1         5.6e-06,6.56e-06  3.6e-06,4.2e-06  -5.66e-07,-4e-07    3.6e-06,4e-06           2,6               2,5               2,6           1e-09,1e-06       1e-09,5e-06       1e-09,5e-06       1e-09,5e-06       1e-09,5e-06   
# --------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- -----------------
# Startup command (/Users/frank/Documents/projects/NR modeling/ProteinImporterMolgroups/PTENExample/splineWtPS_opt): ./fit -ezS -n 21
               21           16.9952            0.6695            0.8781            0.3499            0.5111            0.2242            0.7367            0.8086            0.3376             0.555            0.4276            0.8333             0.902          0.249215            0.9325            0.0426              0.19            0.9231            0.8099            0.8099            0.2976            0.2613            0.7475            0.4878            0.4444            0.3201            0.9007            0.3658            0.0047            0.5789            0.6523            0.4995
# Restarting from stored population
# Startup command (/Users/frank/Documents/projects/NR modeling/ProteinImporterMolgroups/PTENExample/splineWtPS_opt): ./fit -pezS -n 51
               72           13.2657            0.9566            0.6562              0.33             0.501            0.3999            0.0464            0.8311            0.5187            0.1059            0.1164            0.2462            0.5367            0.1145            0.6164            0.1601             0.086            0.5966            0.9438            0.7154            0.4674            0.1655            0.8702            0.4421            0.7237            0.8256            0.2725            0.6963            0.6216            0.3039            0.7169            0.8723
# Restarting from stored population
# Startup command (/Users/frank/Documents/projects/NR modeling/ProteinImporterMolgroups/PTENExample/splineWtPS_opt): ./fit -pezS -n 51
              123           15.7375            0.4375            0.7165            0.2712            0.3584            0.9266            0.1247             0.373            0.5783            0.3438            0.6636             0.716            0.1274            0.2675             0.642            0.5422            0.0323            0.8087            0.6196            0.6114            0.4829            0.4661            0.1036            0.3629            0.5873            0.5319            0.5014             0.823            0.1318            0.1285            0.6743             0.389
# Restarting from stored population
# Startup command (/Users/frank/Documents/projects/NR modeling/ProteinImporterMolgroups/PTENExample/splineWtPS_opt): ./fit -peazS
#             123   Starting amoeba
              123           23.2452            0.3237            0.9439            0.2429            0.7553            0.5461            0.0245            0.0229            0.8869            0.7083            0.8919             0.687            0.5205           0.15453            0.3206            0.5198            0.0906            0.8417            0.1146            0.0113            0.3374            0.3964            0.1786             0.716            0.8282            0.5638            0.9553            0.3254            0.0206            0.2068            0.3626            0.1797
#             123   Starting amoeba
              123           23.2452            0.3237            0.9439            0.2429            0.7553            0.5461            0.0245            0.0229            0.8869            0.7083            0.8919             0.687            0.5205           0.15453            0.3206            0.5198            0.0906            0.8417            0.1146            0.0113            0.3374            0.3964            0.1786             0.716            0.8282            0.5638            0.9553            0.3254            0.0206            0.2068            0.3626            0.1797
#             123   Starting amoeba
              123           23.2452            0.3237            0.9439            0.2429            0.7553            0.5461            0.0245            0.0229            0.8869            0.7083            0.8919             0.687            0.5205           0.15453            0.3206            0.5198            0.0906            0.8417            0.1146            0.0113            0.3374            0.3964            0.1786             0.716            0.8282            0.5638            0.9553            0.3254            0.0206            0.2068            0.3626            0.1797
# Restarting from stored population
# Startup command (/Users/frank/Documents/projects/NR modeling/ProteinImporterMolgroups/PTENExample/splineWtPS_opt): ./fit -pez -n 21
              144           12.4788            0.1126            0.5721            0.5539            0.1592            0.5504            0.0337            0.2394            0.2798            0.3706            0.4105            0.5563            0.0199          0.518126            0.8646            0.0195            0.2896            0.5014            0.1651            0.1651            0.6727            0.0182            0.0075            0.7763            0.5577            0.5635            0.7778            0.1085            0.7913            0.3775            0.0692            0.7123
# Restarting from stored population
