Chisq hg1_thickness l_lipid methyl_sigma rel_pos sigma 
-312.7102986646578 8.700525844082442 10.982489439634078 1.1405100096988285 0.9065449854503304 1.6853956613999848 
-310.57750406504294 9.866414645493242 10.97805279740068 1.291746900630069 0.6532165277463762 1.6191777315097053 
-313.40587032472286 8.633285407560997 11.018238917824835 1.1108396656823478 0.8646822214783927 1.7390188698254943 
-316.12005551169534 9.607901885648072 11.048282580384987 1.4078277491742888 0.6661095553530822 1.7157237461184969 
-312.3663608324938 8.70902873456273 10.9922906588494 1.0870908010748317 0.8120906180771208 1.6648341187485896 
-313.1114944180489 9.843520574156907 10.981859926026502 1.1152516957682899 0.6546794957018235 1.6257089165896494 
-315.6240023692806 9.342430642584779 10.973079547640026 0.9760353480396875 0.7032598684358762 1.6914886714692996 
-311.0973012415427 9.616752634705648 10.933511070684366 1.2076125050169513 0.6850836631390305 1.6096975085585654 
-312.69189737891224 8.741774663311682 11.04106419448662 1.0228477300680092 0.759558957773233 1.7850521401226314 
-312.8399438071053 8.902930726533318 11.09242602029172 1.0534180747834314 0.7270005877167902 1.8545836351205343 
-312.38076264303334 8.709016758260997 10.99230318851528 1.0864451736237057 0.8078956931675458 1.6648329121712415 
-310.8921924482513 9.356425294358166 11.03940484852422 1.1677948675886398 0.688646727354922 1.7640909491436723 
-312.48870184235983 10.331779437819119 10.916699825281343 1.3018621235430425 0.6232299180017226 1.496222487984171 
-311.5882909252622 9.521817550147203 10.958100469459696 1.342032318153163 0.6892219115391409 1.6276883115989118 
-312.51376344028677 8.749123220741774 11.061655471464979 0.9765965550985882 0.7563148647693634 1.7833435951145362 
-312.03179797372957 9.616737757686396 10.933501776761931 1.1399342523672837 0.6850826753251597 1.6096958957983245 
-314.7360447193943 9.300620935149166 11.030014091353475 1.409266951733665 0.6989921286929731 1.7131111769866958 
-312.38076264303334 8.709016758260997 10.99230318851528 1.0864451736237057 0.8078956931675458 1.6648329121712415 
-313.29535344967985 9.032777382629357 11.046383965589959 1.2866974738123858 0.7290589497558828 1.717310388933076 
-313.20002131926594 10.286364517631512 10.932559085386876 1.3371305172989543 0.6257049227712107 1.536032981947035 
-312.6962855386349 8.724453017964178 10.976565671963055 1.1185303512387574 0.9481691982012266 1.6740310459620078 
-311.51425983741 8.703378867728558 10.986940126724344 1.1901827296921959 0.8346678528155684 1.6606279854614043 
-310.87264822864336 9.063283753288806 10.980351010420831 1.1122758053826185 0.736978817126454 1.6845740019468056 
-311.3382156899579 9.393062215844388 10.93687240410196 1.2031683537762956 0.7099219196860903 1.59807372183238 
-311.3804797490773 8.66186715541661 11.010677532411073 1.2040465225456347 0.9092306446192098 1.702893458505905 
-313.02922214579587 10.331771106273855 10.91670348841665 1.38373293759046 0.6232310895818352 1.4915457492223392 
