Chisq bulksld hg1_thickness l_cg l_choline l_lipid l_phosphate methyl_sigma methyl_sigma2 nf_methyl2 rel_pos sigma v_cg v_choline v_phosphate va1 vm1 
-1980.5084485775265 9.366809840214379e-06 7.923336683541084 5.041046661524588 7.2161588153718235 12.680180713394389 2.087021576683614 1.3316338409178705 3.660261368811889 0.27066378174062466 0.5322082363786916 2.4169067054459483 167.41769096610875 109.79834969859519 65.77172437084498 976.914886908094 101.16177196738339 
-1249.3687041440858 9.367148291680478e-06 10.455919048437952 5.3278329379093705 7.342359731383352 12.154728134168462 1.1733268204936664 2.056302878907845 2.6538640727954905 0.18457686421698125 0.5067112073554022 1.9661066078440184 142.45763647640698 119.56519735486104 79.01800290871122 979.1346571810258 99.85831255030833 
-1835.219509239276 9.367737052548338e-06 8.943062869974382 6.523717551012191 3.470622106475648 12.032457079195401 1.770317543922279 1.5532968615568348 2.1915259715933915 0.17695589820982233 0.5256931001628882 2.317695460013957 162.35216328957335 126.74708315679845 49.59254971704007 981.6350103675986 99.22126815733017 
-1099.762979443811 9.369605900656724e-06 10.90198047880742 4.515601125463917 6.153154303429223 11.947574005951491 2.6423578159848073 2.3257820506640368 2.690336220820596 0.14385056541984062 0.495655190998762 1.7711943569134991 154.34794852345487 123.25534476282031 62.223745035019384 979.0637476907522 100.9070235957225 
-1405.8375812981753 9.368246006943179e-06 10.401876085728963 4.682976244812665 7.45699227056452 11.984712698722175 2.3124590333117174 2.0739709076793833 2.23458269254614 0.2346511816081836 0.521932522928231 1.9782380617120519 157.08598599087546 120.8510735981738 61.88010551099163 980.2706536761036 100.04080279360733 
-1835.219509239276 9.367737052548338e-06 8.943062869974382 6.523717551012191 3.470622106475648 12.032457079195401 1.770317543922279 1.5532968615568348 2.1915259715933915 0.17695589820982233 0.5256931001628882 2.317695460013957 162.35216328957335 126.74708315679845 49.59254971704007 981.6350103675986 99.22126815733017 
-1016.7003070562278 9.36771305752587e-06 10.573024577291658 3.109588826264601 7.271221735964035 12.13617912963657 2.681236936292965 2.4922004210893 8.394348778777232 0.13803441490685486 0.4852912796792896 1.7701215703460595 160.98624241571775 123.32204970640063 58.32445570493958 977.2063485341467 106.55289455960637 
-2195.620203847666 9.365083964902186e-06 7.337829941376176 5.662100378235564 4.178453351133865 12.346848245414384 3.439665935067834 1.928505180909238 2.2308921090481753 0.11275226632883753 0.6724342540872889 2.260777753238996 148.0350286617309 118.77198370622325 75.18296379781377 979.623120235128 99.98637388551417 
-1225.0653986833788 9.367366318754051e-06 9.811534271509677 5.263036899109582 2.455075336653424 12.04129515371915 2.17857664461422 2.2700705550082985 2.8938358095086802 0.2163218183519084 0.5444803327894708 1.8864560723221766 144.40177055685845 134.79664361183336 62.059824801453885 979.401584844101 102.06576697130825 
-1456.025236810375 9.365084906844303e-06 8.869934572158686 1.0840905690533114 2.3476775858724537 12.320952357773027 1.100313464303542 2.1274947235407673 2.556438009263169 0.2646387093866678 0.5036013487207968 1.779803509608242 168.00893227371665 119.10322623354661 40.978143003771045 993.3413627077146 102.91543043773112 
