#Datafile 0: exp7dpps20mNpm1mMDTT500nMdp12MLV5thfull.refl ; 
#      Generation        Chisq_best           l_lipid             sigma      global_rough           rhoprot             d_on1             d_on2             d_on3             d_on4             d_on5             d_on6             d_on7             d_on8             d_on9            d_on10            d_on11            d_on12            d_on13            d_on14            d_on15            d_on16            d_on17            d_on18            d_on19            d_on20            d_on21            d_on22            d_on23            vf_on1            vf_on2            vf_on3            vf_on4            vf_on5            vf_on6            vf_on7            vf_on8            vf_on9           vf_on10           vf_on11           vf_on12           vf_on13           vf_on14           vf_on15           vf_on16           vf_on17           vf_on18           vf_on19           vf_on20           vf_on21           vf_on22           vf_on23        rho_solv_0         mu_solv_0        mu_organic     beamintensity         alignment      background_0
#                  parameter range:        8,22            0.5,10            0.5,10          1e-05,1.4e-05        -5,5              -5,5              -5,7              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5              -5,5               0,0.9             0,0.9           0.1,0.9           0.1,0.9           0.1,0.9           0.1,0.9           0.1,0.9           0.1,0.9             0,0.9             0,0.9             0,0.9             0,0.5             0,0.5             0,0.5             0,0.5             0,0.5             0,0.5             0,0.5             0,0.5             0,0.5             0,0.5             0,0.5             0,0.5         1e-06,2e-05       9e-09,1e-06       1e-09,1e-07         0.9,1.1            -0,0.007       1e-10,5e-08   
# --------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- ----------------- -----------------
# Startup command (/Users/frank/Documents/programming/molgroups/examples/xray_monolayer/20mN/CleanMonolayer): ./fit -ezS -n 21
               21           121.768            0.3271            0.4627            0.9429            0.4664             0.319            0.3581            0.3504            0.3086            0.5097            0.3111            0.3282            0.7568            0.3058            0.2691            0.0505            0.9159            0.7611            0.0353            0.9976            0.0022            0.1097            0.8475            0.4818             0.367             0.284            0.0856             0.154            0.0438            0.8615            0.4828            0.1591            0.5993            0.3295            0.3465            0.8885            0.3515            0.1762            0.5659             0.752          0.835556            0.3877            0.3931            0.2594          0.288222          0.320247            0.1477            0.0621             0.069         0.0766667         0.0851852            0.4897            0.1187            0.0683            0.5254            0.3396            0.3654
# Restarting from stored population
# Startup command (/Users/frank/Documents/programming/molgroups/examples/xray_monolayer/20mN/CleanMonolayer): ./fit -pezS -n 51
               72           85.8843            0.0088            0.4956            0.0259            0.3658            0.0492            0.1824            0.9687            0.5623            0.7703            0.0626            0.6456            0.3851             0.435            0.8086            0.0549            0.4566            0.2224            0.0532            0.5681            0.0086            0.4552             0.088            0.1083             0.455            0.5656            0.1804            0.0296            0.1589            0.7664            0.6412            0.4544            0.7771            0.4642            0.6071            0.5508            0.4124             0.487            0.9421            0.5579            0.4601          0.511222            0.1665             0.185          0.205556          0.228395            0.1031          0.114556          0.127284          0.141427            0.1486            0.5185             0.525            0.0739            0.3701            0.5813            0.9944
# Restarting from stored population
# Startup command (/Users/frank/Documents/programming/molgroups/examples/xray_monolayer/20mN/CleanMonolayer): ./fit -pezS -n 51
              123           90.2203            0.0054            0.4355            0.0209            0.3617             0.049            0.0824            0.0614            0.4623            0.7702            0.7216            0.1446            0.3451             0.445             0.308            0.5549            0.4056            0.2814            0.3534            0.5665            0.0986            0.5954            0.0574            0.7089             0.483            0.5653            0.1404            0.0291            0.1628            0.7793            0.6442            0.7244            0.0578            0.4723            0.1091            0.5508            0.4029            0.1169            0.9024            0.5777            0.4835          0.537222            0.1669          0.185444          0.206049          0.228944            0.2267          0.251889            0.0753         0.0836667          0.092963            0.5192            0.5483            0.2288            0.3033            0.3823            0.9844
# Restarting from stored population
# Startup command (/Users/frank/Documents/programming/molgroups/examples/xray_monolayer/20mN/CleanMonolayer): ./fit -peazS
#             123   Starting amoeba
