216
0.0778881708665444 0.648277849395681 0.207940886082226 0.256954763126043 0.356189869329432 0.509418293554825 0.737877652736001 0.3301274494578 0.504029318787705 1 0.981837172919047 1 0.1774111169935 0.816819326996659 0.239750816597182 0.896054212693801 0.759572535253176 0.542453027151451 0.0521795671470306 0.393308252142644 0.0529647883880692 0.139158510535959 0.258342343981902 0.0201372891555659 0.0312845074670592 0.163506133659361 0.0390035103892968 0.838011096685173 0.991112213950329 0 0 0.963422759501514 0.13989171841942 0.644399357954424 0.81482886429469 0.80866245425222 0.496087224754583 0.614528614738308 0.723814122642674 0.16142361738931 
0.1756 0.0495 0.167 0.4569 0.4561 0.5667 0.9232 0.4501 0.172 0.0761 0.7112 0.07 0.149 0.8628 0.2707 0.707 0.7599 0.2488 0.0044 0.3993 0.1538 0.2215 0.524 0.1203 0.5413 0.2798 0.1501 0.9532 0.5411 0.3103 0.0312 0.1706 0.529 0.1799 0.517 0.8608 0.6153 0.8608 0.8636 0.6821 
0.786 0.0394 0.2475 0.9181 0.9556 0.4846 0.3949 0.0702 0.4665 0.6407 0.4793 0.6457 0.1205 0.8139 0.2492 0.6978 0.257 0.5734 0.2597 0.263 0.7649 0.7344 0.176 0.1705 0.895 0.563 0.2893 0.0137 0.6733 0.4098 0.1384 0.6599 0.6388 0.5249 0.512 0.807 0.5341 0.6625 0.3339 0.2363 
0.8526 0.4404 0.205 0.1579 0.5446 0.9922 0.2909 0.5782 0.5142 0.8518 0.0312 0.2098 0.2714 0.8727 0.185 0.2971 0.4546 0.3468 0.0782 0.6279 0.032 0.8413 0.9926 0.4528 0.6692 0.7151 0.8434 0.9656 0.5793 0.6832 0.2982 0.6632 0.2473 0.0443 0.0117 0.8275 0.4443 0.6645 0.663 0.301 
0.1888 0.5752 0.1672 0.2361 0.3581 0.5394 0.0181 0.7814 0.6817 0.3231 0.1239 0.8353 0.5582 0.2901 0.1129 0.2664 0.7022 0.3027 0.04 0.355 0.9198 0.4881 0.5408 0.0294 0.5491 0.9238 0.1649 0.8494 0.9591 0.5236 0.0071 0.0034 0.6298 0.659 0.1455 0.5906 0.799 0.0455 0.805 0.0241 
0.8562 0.5433 0.2776 0.1546 0.6506 0.1381 0.7872 0.8411 0.2943 0.8018 0.43 0.116 0.8764 0.4194 0.1863 0.8241 0.7645 0.1217 0.0373 0.254 0.0829 0.6611 0.2649 0.8465 0.7414 0.9606 0.002 0.8282 0.8957 0.5236 0.7006 0.7334 0.1392 0.6178 0.6111 0.5795 0.373 0.1105 0.2285 0.584 
0.5559 0.0431 0.6666 0.494 0.1898 0.5002 0.7197 0.3381 0.2417 0.3608 0.3713 0.9702 0.2709 0.8234 0.3381 0.3028 0.7391 0.5063 0.1771 0.3659 0.2711 0.8394 0.0543 0.637 0.0623 0.5632 0.1549 0.3594 0.4191 0.5631 0.0076 0.7479 0.5292 0.658 0.1454 0.5406 0.7995 0.3635 0.8009 0.1992 
0.0778 0.3482 0.2099 0.2569 0.3861 0.5294 0.4378 0.3809 0.504 0 0.9418 0.05 0.6774 0.2065 0.2897 0.7667 0.4005 0.5424 0.0521 0.3433 0.5528 0.239 0.2513 0.04 0.0312 0.1656 0.01 0.838 0.9321 0.0006 0 0.9634 0.1398 0.6463 0.8142 0.8706 0.7002 0.6505 0.7238 0.4814 
0.8587 0.0201 0.2407 0.7559 0.1296 0.2655 0.7647 0.6681 0.8553 0.7008 0.4888 0 0.2175 0.2108 0.1463 0.8879 0.7945 0.4807 0.0474 0.251 0.9929 0.0611 0.2548 0.1251 0.5058 0.3638 0.5232 0.8285 0.8791 0.9266 0.3566 0.8142 0.1062 0.6363 0.1384 0.7483 0.6001 0.3098 0.5658 0.4066 
0.9503 0.4434 0.2076 0.3904 0.6566 0.0602 0.0652 0.6201 0.1353 0.8608 0.8875 0.0062 0.3768 0.3323 0.5403 0.8568 0.7142 0.3207 0.2047 0.67 0.0929 0.0541 0.2917 0.8261 0.5742 0.5692 0.0447 0.8281 0.9091 0.2036 0.8073 0.4151 0.6582 0.5299 0.1456 0.9697 0.848 0.7702 0.0784 0.147 
